timestamp,event,performance,seat_name,price,id,note
"2026-08-11 12:44:50","disappear","8月22日","指定席","12000","RTK_1786417186_HWQp1dQS","掲載8秒"
"2026-08-11 12:45:44","appear","8月23日","親子・女性ｴﾘｱ","12000","RTK_1786269557_tswK5Sp6",""
"2026-08-11 12:45:57","appear","8月22日","指定席","12000","RTK_1786419658_jqg07Zsd",""
"2026-08-11 12:46:26","disappear","8月22日","指定席","12000","RTK_1786419658_jqg07Zsd","掲載30秒"
"2026-08-11 12:46:29","disappear","8月23日","親子・女性ｴﾘｱ","12000","RTK_1786269557_tswK5Sp6","掲載45秒"
"2026-08-11 12:46:42","appear","8月23日","親子・女性ｴﾘｱ","12000","RTK_1786269557_tswK5Sp6",""
"2026-08-11 12:46:50","disappear","8月23日","親子・女性ｴﾘｱ","12000","RTK_1786269557_tswK5Sp6","掲載8秒"
"2026-08-11 12:46:58","appear","8月22日","指定席","12000","RTK_1786418446_zyHBaL9s",""
"2026-08-11 12:47:04","disappear","8月22日","指定席","12000","RTK_1786418446_zyHBaL9s","掲載6秒"
"2026-08-11 12:52:02","appear","8月22日","指定席","12000","RTK_1786420044_9hZKuvDz",""
"2026-08-11 12:52:35","disappear","8月22日","指定席","12000","RTK_1786420044_9hZKuvDz","掲載33秒"
"2026-08-11 12:52:43","appear","8月22日","指定席","12000","RTK_1786259573_et0aUMHp",""
"2026-08-11 12:52:50","disappear","8月22日","指定席","12000","RTK_1786259573_et0aUMHp","掲載6秒"
"2026-08-11 12:53:59","appear","8月22日","親子・女性ｴﾘｱ","12000","RTK_1786420353_JVecVw5D",""
"2026-08-11 12:54:39","disappear","8月22日","親子・女性ｴﾘｱ","12000","RTK_1786420353_JVecVw5D","掲載40秒"
"2026-08-11 12:59:03","appear","8月22日","指定席","12000","RTK_1786418870_H4SLtYNQ",""
"2026-08-11 12:59:33","disappear","8月22日","指定席","12000","RTK_1786418870_H4SLtYNQ","掲載30秒"
"2026-08-11 13:00:44","appear","8月22日","指定席","12000","RTK_1786420626_z1FgqtAS",""
"2026-08-11 13:01:43","disappear","8月22日","指定席","12000","RTK_1786420626_z1FgqtAS","掲載59秒"
"2026-08-11 13:01:45","appear","8月23日","指定席","12000","RTK_1786420077_B1xpo3sz",""
"2026-08-11 13:01:56","appear","8月23日","親子・女性ｴﾘｱ","12000","RTK_1786269557_tswK5Sp6",""
"2026-08-11 13:02:40","disappear","8月23日","指定席","12000","RTK_1786420077_B1xpo3sz","掲載55秒"
"2026-08-11 13:02:45","disappear","8月23日","親子・女性ｴﾘｱ","12000","RTK_1786269557_tswK5Sp6","掲載49秒"
"2026-08-11 13:03:07","appear","8月23日","指定席","12000","RTK_1786420807_qRCzgeZ5",""
"2026-08-11 13:03:12","disappear","8月23日","指定席","12000","RTK_1786420807_qRCzgeZ5","掲載5秒"
"2026-08-11 13:03:21","appear","8月23日","指定席","12000","RTK_1786287388_FlHKte8O",""
"2026-08-11 13:03:26","appear","8月22日","指定席","12000","RTK_1786420044_9hZKuvDz",""
"2026-08-11 13:03:26","disappear","8月23日","指定席","12000","RTK_1786287388_FlHKte8O","掲載5秒"
"2026-08-11 13:03:34","disappear","8月22日","指定席","12000","RTK_1786420044_9hZKuvDz","掲載8秒"
"2026-08-11 13:03:39","appear","8月23日","指定席","12000","RTK_1786420893_TJ5lll2y",""
"2026-08-11 13:03:45","disappear","8月23日","指定席","12000","RTK_1786420893_TJ5lll2y","掲載6秒"
"2026-08-11 13:16:40","appear","8月23日","注釈付指定席","11000","RTK_1786421596_FwblYHbp",""
